subject,topic,question,A,B,C,D,answer,explanation
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ thần kinh phó giao cảm, NGOẠI TRỪ:",Trung tâm nằm liên tục,"Hạch phó giao cảm gần tạng, xa trung tâm","Sợi tiền hạch dài, sợi hậu hạch ngắn",Ảnh hưởng phó giao cảm thường khu trú,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Hệ giao cảm: Trung tâm nằm liên tục trong tủy sống; Hệ phó giao cảm: Trung tâm nằm không liên tục nhau trên não và trong tủy sống. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Trung tâm nằm liên tục) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Thụ thể nằm trên tế bào đáp ứng trong synap với sợi hậu hạch hệ thần kinh phó giao cảm:,Muscarinic,Alpha và beta,Nicotinic 1,Nicotinic 2,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Thụ thể muscarinic (M): nằm trên tế bào đáp ứng trong synap với sợi hậu hạch phó giao cảm. Có các loại Mi, M2, M3.... Vì vậy đáp án A (Muscarinic) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ thống tế bào thần kinh đệm, NGOẠI TRỪ:",Chiếm thể tích lớn trong não bộ,"Là dạng tế bào đơn năng, không có khả năng biệt hóa thêm","Một số nhóm tế bào có chức năng điều chỉnh lượng máu lưu thông trong não, duy trì nồng độ kali ngoại bào","Một số nhóm tế bào có chức năng như đại thực bào, tìm kiếm để loại bỏ các mảnh vỡ của tế bào thần kinh sau chấn thương",B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Các tế bào đệm chiếm thể tích lớn trong não bộ, có chức năng hỗ trợ hoạt động cho các tế bào thần kinh. Một số loại tế bào thần kinh đệm ở cấu trúc não người trưởng thành có các đặc tính của tế bào gốc dòng thần kinh.... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Là dạng tế bào đơn năng, không có khả năng biệt hóa thêm) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Phân chia về mặt chức năng của hệ thần kinh thực vật, tủy thượng thận thuộc hệ thần kinh:",Hệ Adrenergic,Hệ Cholinergic,Hệ giao cảm,Hệ phó giao cảm,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Có hai cách phân chia hệ thần kinh tự chủ: về mặt giải phẫu có thể chia thành giao câm (Σ) và phó giao cảm (pΣ=Σ’), về mặt chức năng có thể chia thành hệ cholinergic và hệ adrenergic.. Vì vậy đáp án A (Hệ Adrenergic) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Sợi truyền cảm giác đau ""chậm"", sợi hậu hạch giao cảm thuộc loại sợi:",B,Aα,Aβ,C,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: C; Chức năng: Sợi truyền cảm giác đau ""chậm"", sợi hậu hạch giao cảm; Đường kính (um): 1 (không myelin); Tốc độ dẫn truyền (m/s): 0,5-2. Vì vậy đáp án D (C) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm phản xạ không điều kiện:,Trung tâm phản xạ là vỏ não,Có tính chất cá thể,Có tính chất vĩnh viễn,Không có tính di truyền,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất vĩnh viễn, suốt đời; Phản xạ có điều kiện: Có tính chất tạm thời, mất đi khi không được củng cố. Vì vậy đáp án C (Có tính chất vĩnh viễn) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Quy luật ""tất cả hoặc không"" là quy luật hoạt động của các cấu trúc:",Một sợi trục,Bó sợi trục,Dây thần kinh,Thân tế bào thần kinh,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Dây thần kinh ở ngoại biên cũng như các đường dẫn truyền trong hệ thần kinh trung ương không phải là một sợi trục mà là một bó gồm nhiều sợi trục có và không có myelin..... Vì vậy đáp án A (Một sợi trục) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi vận động ở suốt cơ thuộc loại sợi:,Aα,Aβ,Aγ,Aδ,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: Aγ; Chức năng: Sợi vận động ở suốt cơ; Đường kính (um): 5; Tốc độ dẫn truyền (m/s): 15-30. Vì vậy đáp án C (Aγ) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ giao cảm, NGOẠI TRỪ:",Noron hậu hạch có thân ở chuỗi hạch giao cảm cạnh cột sống,Noron hậu hạch có thân ở chuỗi hạch giao cảm cạnh cột sống,"Hạch giao cảm xa trung tâm, gần tạng",Đường dẫn truyền gồm 2 noron,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Hệ giao cảm: Hạch giao cảm nằm gần trung tâm, xa tạng; Hệ phó giao cảm: Hạch phó giao cảm nằm gần tạng, xa trung tâm. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch giao cảm xa trung tâm, gần tạng) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Nhóm hạch bướm khẩu cái của hệ thần kinh phó giao cảm, thuộc dây thần kinh sọ não số:",III,VII,IX,X,B,"Theo book_17_SinhLyTKVanDong_raw.docx, Hạch bướm khẩu cái: thuộc dây thần kinh VII.. Vì vậy đáp án B (VII) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của tế bào hình sao là:,"Tham gia vào quá trình trao đổi chất, cung cấp một số chất dinh dưỡng",Tổng hợp myelin trong hệ thần kinh trung ương,Tổng hợp myelin trong hệ thần kinh ngoại biên,Xuất hiện nhiều sau chấn thương thần kinh,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tế bào hình sao (astrocytes): tham gia vào quá trình trao đổi chất, cung cấp một số chất dinh dưỡng, tổng hợp các chất truyền đạt thần kinh; giúp điều chỉnh lượng máu lưu thông trong não, duy trì nồng độ kali ngoại bào.. Vì vậy đáp án A (Tham gia vào quá trình trao đổi chất, cung cấp một số chất dinh dưỡng) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Xung động từ hệ cholinergic làm:,Co cơ vòng bàng quang,Bài tiết tại chỗ tuyến mồ hôi,"Co ống dẫn mật, túi mật",Co tuyến nước bọt,C,"Theo book_17_SinhLyTKVanDong_raw.docx, Cơ quan đáp ứng: Ống dẫn mật, túi mật; Xung động adrenergic: Giãn (+); Xung động cholinergic: Co (+). Vì vậy đáp án C (Co ống dẫn mật, túi mật) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Enzyme phân hủy Noradrenalin và Adrenalin:,Catechol - O - Methyltransferase,Acetylcholintransferase,Cholinesterase,Amylase,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Noradrenalin và adrenalin bị bất hoạt theo 3 đường: tái nhập trở lại cúc tận cùng của sợi hậu hạch giao cảm, khuếch tán vào dịch kẽ bao quanh và bị các men phân giải như men Catechol-O-methyltransferase.. Vì vậy đáp án A (Catechol - O - Methyltransferase) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác xúc giác, NGOẠI TRỪ:",Loại sợi Aβ có myelin dẫn truyền nhanh cảm giác xúc giác tinh tế,Chặng thứ nhất dẫn truyền từ thụ thể vào tủy sống,Loại sợi Aβ có myelin giúp xác định chính xác vị trí,Bó gai thị sau dẫn truyền nhanh cảm giác xúc giác thô sơ,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Bó gai thị trước: sợi nhỏ, không có myelin, dẫn truyền chậm cảm giác xúc giác thô sơ. Đường dẫn truyền:. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Bó gai thị sau dẫn truyền nhanh cảm giác xúc giác thô sơ) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Trung tâm cao cấp của hệ thần kinh tự chủ:,Cấu trúc lưới,Vùng hạ đồi,Vỏ não,Tủy tuyến thượng thận / đồi thị,B,"Theo book_17_SinhLyTKVanDong_raw.docx, Vùng hạ đồi là trung tâm cao cấp của hệ thần kinh tự chủ. Kích thích phần trước có tác dụng như kích thích hệ phó giao cảm, kích thích phần sau có tác dụng như kích thích hệ giao cảm.. Vì vậy đáp án B (Vùng hạ đồi) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Thụ thể của hệ thần kinh phó giao cảm trên mạch là:,Nicotinic 1,Muscarinic,Nicotinic 2,"Alpha, beta",B,"Theo DeCuong2025_SinhLyThanKinh.docx, + Thụ thể muscarinic (M): nằm trên tế bào đáp ứng trong synap với sợi hậu hạch phó giao cảm. Có các loại Mi, M2, M3.... Vì vậy đáp án B (Muscarinic) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ Adrenergic, NGOẠI TRỪ:",Thời gian tác dụng Noradrenalin trong vài giây,Thời gian tác dụng Noradrenalin trong vài giây,10% Noradrenalin chuyển thành adrenalin ở tủy thượng thận,Có 2 loại thụ thể: α và β,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Ở tủy thượng thận 80% noradrenalin được chuyển thành adrenalin.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (10% Noradrenalin chuyển thành adrenalin ở tủy thượng thận) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Sợi cảm giác suốt cơ, thị giác, sợi vận động cơ vân thuộc loại sợi:",Aα,Aβ,Aγ,Aδ,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: Aα; Chức năng: Sợi cảm giác suốt cơ, thị giác, sợi vận động cơ vân; Đường kính (um): 15; Tốc độ dẫn truyền (m/s): 70-120. Vì vậy đáp án A (Aα) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Cảm giác xúc giác thô sơ được dẫn truyền từ tủy sống về đồi thị theo:,Bó gai thị trước,Bó gai thị sau,Bó Goll - Burdach,Bó tủy tiểu não,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Bó gai thị trước: sợi nhỏ, không có myelin, dẫn truyền chậm cảm giác xúc giác thô sơ. Đường dẫn truyền:. Vì vậy đáp án A (Bó gai thị trước) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác nhiệt, NGOẠI TRỪ:",Sợi trục tận cùng của noron thứ 3 ở thùy đỉnh,Chặng thứ hai dẫn truyền tủy sống lên thân não và đồi thị,Loại sợi Aδ có myelin dẫn truyền chậm cảm giác lạnh,Noron thứ 2 có thân ở sừng sau tủy sống,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Loại sợi Aδ có myelin: dẫn truyền nhanh cảm giác lạnh.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Loại sợi Aδ có myelin dẫn truyền chậm cảm giác lạnh) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của các thụ thể nhiệt, NGOẠI TRỪ:",Thụ thể nóng nhiều gấp 3-10 lần thụ thể lạnh và nằm ở nông hơn,Mỗi thụ thể chỉ chi phối 1 vùng khoảng 1 mm,Gây cảm giác nhiệt nhờ hiện tượng cộng kích thích,"Thụ thể nhiệt có nhiều ở môi, kế tiếp là ngón tay và ít trên thân mình",A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Phân bố thụ thể nhiệt: nằm ở lớp nông của da, tách xa nhau, mỗi thụ thể chi phối 1 vùng khoảng 1mm. Gây cảm giác nhiệt nhờ hiện tượng cộng kích thích. Thụ thể lạnh nhiều gấp 3-10 lần thụ thể nóng và nằm ở nông hơn..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Thụ thể nóng nhiều gấp 3-10 lần thụ thể lạnh và nằm ở nông hơn) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Khi cơ thể bị nhiễm toan, tế bào thần kinh bị ảnh hưởng:",Giảm tính hưng phấn,Tăng tính hưng phấn,Giảm ngưỡng kích thích,"Tăng chuyển hóa: nhu cầu oxy tăng, sản sinh nhiều NH3",A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của pH: nhiễm kiềm làm tăng tính hưng phấn của nơron có thể gây co giật, động kinh; nhiễm toan làm giảm tính hưng phấn của nơron có thể gây hôn mê.. Vì vậy đáp án A (Giảm tính hưng phấn) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các sợi phó giao cảm có đặc điểm sau, NGOẠI TRỪ:","Các sợi phó giao cảm rời khỏi hệ thần kinh trung ương qua các dây thần kinh sọ II, VII, IX, X",Khoảng 75% số sợi phó giao cảm nằm trong dây X,"Các sợi trong dây III tới chi phối cho các cơ đồng tử, cơ thể mi","Các sợi trong tủy cùng tới chi phối cho đại tràng xuống, trực tràng",A,"Theo book_17_SinhLyTKVanDong_raw.docx, Đường dẫn truyền: đường dẫn truyền từ trung tâm đến mô có hai nơron: nơron tiền hạch và nơron hậu hạch. Đặc biệt các sợi phó giao cảm xuất phát từ cuống não, hành não sẽ đi theo dây thần kinh III, VII, IX, X..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Các sợi phó giao cảm rời khỏi hệ thần kinh trung ương qua các dây thần kinh sọ II, VII, IX, X) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ thần kinh tự chủ, NGOẠI TRỪ:",Được phân phối đến các cơ quan nội tạng,Tạo phản ứng không theo ý muốn,Còn gọi là hệ thần kinh thực vật,Tạo các cử động nhờ hệ cơ xương,D,"Theo book_17_SinhLyTKVanDong_raw.docx, + Hoạt động phối hợp với vùng tiền vận động để tạo ra tư thế của các phần khác nhau cơ thể làm nền cho sự kiểm soát các cử động tinh tế của bàn tay, bàn chân.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Tạo các cử động nhờ hệ cơ xương) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Cơ chế thành lập phản xạ có điều kiện, NGOẠI TRỪ:",Mỗi bộ phận cảm thụ đều có điểm đại diện trên vỏ não,"Khi hai điểm đại diện cùng hưng phấn, sự lan tỏa sẽ giao thoa và tạo thành đường liên lạc tạm thời",PXCĐK chỉ do kích thích có điều kiện gây ra,Phản xạ có điều kiện được xây dựng trên cơ sở một đường liên lạc tạm thời,C,"Theo DeCuong2025_SinhLyThanKinh.docx, (A): kích thích không điều kiện. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (PXCĐK chỉ do kích thích có điều kiện gây ra) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác nhiệt, NGOẠI TRỪ:",Sợi trục tận cùng của noron thứ 3 ở thùy đỉnh,Chặng thứ hai dẫn truyền tủy sống lên thân não và đồi thị,Loại sợi Aδ có myelin dẫn truyền nhanh cảm giác lạnh,Noron thứ 3 có thân ở sừng sau tủy sống,D,"Theo DeCuong2025_SinhLyThanKinh.docx, + Nơron thứ nhất: sợi trục từ ngoại biên vào tận cùng ở sừng sau tủy sống.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Noron thứ 3 có thân ở sừng sau tủy sống) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Thụ thể của hệ thần kinh giao cảm trên tim là:,Beta 1,Alpha 1,Beta 2,Alpha 2,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, + Mắt người có thể thấy được và phân biệt màu sắc các làn sóng điện từ có bước sóng trong khoảng 400-700nm (vùng ánh sáng hay vùng quang phổ) với bảy màu cơ bản: đỏ (λ = 660nm), cam, vàng, lục, lam, chàm.... Vì vậy đáp án A (Beta 1) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Nhóm hạch trước cột sống, NGOẠI TRỪ:",Hạch tạng,Hạch mạc treo,Hạch hạ vị,Hạch tai,D,"Theo book_17_SinhLyTKVanDong_raw.docx, + Hạch tai: thuộc dây thần kinh IX.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Hạch tai) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Phản xạ có điều kiện có tính chất:,"Tập thành, mang tính cá thể, không di truyền, không bền, cung phản xạ không có sẵn","Bẩm sinh, di truyền, không bền","Tập thành, di truyền, bền vững, cung phản xạ không có sẵn","Bẩm sinh có thể biến đổi, mang tính cá thể",A,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất di truyền; Phản xạ có điều kiện: Không di truyền.. Vì vậy đáp án A (Tập thành, mang tính cá thể, không di truyền, không bền, cung phản xạ không có sẵn) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm phản xạ không điều kiện, NGOẠI TRỪ:",Trung tâm phản xạ là vùng dưới vỏ,Có tính chất tạm thời,Có tính chất chủng loài,Có tính chất di truyền,B,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất vĩnh viễn, suốt đời; Phản xạ có điều kiện: Có tính chất tạm thời, mất đi khi không được củng cố. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Có tính chất tạm thời) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm cảm giác đau, NGOẠI TRỪ:",Thụ thể cảm giác đau là đầu tự do của dây thần kinh,Phân bố thụ thể ở lớp sâu của da,Loại sợi C không có myelin dẫn truyền chậm cảm giác đau mạn,Noron thứ 2 có thân ở sừng sau tủy sống,B,"Theo DeCuong2025_SinhLyThanKinh.docx, Phân bố thụ thể nhiệt: nằm ở lớp nông của da, tách xa nhau, mỗi thụ thể chi phối 1 vùng khoảng 1mm. Gây cảm giác nhiệt nhờ hiện tượng cộng kích thích. Thụ thể lạnh nhiều gấp 3-10 lần thụ thể nóng và nằm ở nông hơn..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Phân bố thụ thể ở lớp sâu của da) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Noron hậu hạch có thân ở cạnh hạch phó giao cảm,"Hạch phó giao cảm xa trung tâm, gần tạng",Hạch mi thuộc dây thần kinh IX,Trung tâm ở chất xám tủy sống S2-S4,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Hạch tai: thuộc dây thần kinh IX.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch mi thuộc dây thần kinh IX) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm phản xạ không điều kiện, NGOẠI TRỪ:",Có tính chất chủng loài,Có tính chất chủng loài,Không tính chất di truyền,Có tính vĩnh viễn suốt đời,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất di truyền; Phản xạ có điều kiện: Không di truyền.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Không tính chất di truyền) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các thuốc sau đây gây giảm ngưỡng kích thích của tế bào thần kinh, NGOẠI TRỪ:",Strychnine,Cafein,Theophyllin,Theobromin,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Strychnine) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Hạch dưới hàm thuộc dây thần kinh VII,"Hạch phó giao cảm xa trung tâm, gần tạng",Hạch tai thuộc dây thần kinh VII,Trung tâm ở chất xám tủy sống S2-S4,C,"Theo book_17_SinhLyTKVanDong_raw.docx, Hạch bướm khẩu cái: thuộc dây thần kinh VII.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch tai thuộc dây thần kinh VII) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Noron hậu hạch có thân ở cạnh hạch phó giao cảm,"Hạch phó giao cảm xa trung tâm, gần tạng",Hạch dưới hàm thuộc dây thần kinh IX,Trung tâm ở chất xám tủy sống S2-S4,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Hạch tai: thuộc dây thần kinh IX.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch dưới hàm thuộc dây thần kinh IX) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chất làm tăng tính hưng phấn của noron do làm giảm ngưỡng kích thích:,Strychnine,Thuốc tê,Theophyllin,Thuốc mê,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì vậy đáp án C (Theophyllin) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các hạch nằm ngay trong thành các tạng ở cổ, ngực, bụng thuộc dây:",IX,III,VII,Xuất phát từ S2-S4,D,"Theo book_17_SinhLyTKVanDong_raw.docx, + Các hạch nằm ngay trong thành các tạng ở cổ, ngực, bụng: thuộc dây thần kinh X và phần xuất phát từ S2-S4.. Vì vậy đáp án D (Xuất phát từ S2-S4) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Phản xạ là phản ứng của cơ thể đối với những kích thích của:,Môi trường bên ngoài cơ thể,Môi trường bên trong cơ thể,Môi trường bên trong và bên ngoài cơ thể,Theo Pavlov có 4 loại phản xạ,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ là phản ứng của cơ thể đối với những kích thích của môi trường bên ngoài cũng như bên trong cơ thể. Pavlov phân biệt 2 loại phản xạ: phản xạ không điều kiện (PXKĐK) và phản xạ có điều kiện (PXCĐK).. Vì vậy đáp án C (Môi trường bên trong và bên ngoài cơ thể) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Chức năng của tế bào thần kinh đệm, NGOẠI TRỪ:",Dẫn truyền xung động thần kinh,Tổng hợp myelin,Tìm kiếm để loại bỏ các mảnh vỡ tế bào thần kinh sau chấn thương,Duy trì nồng độ kali ngoại bào,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Sợi trục (axon): là tua bào tương dài, vị trí chuyển tiếp từ thân tế bào thần kinh thành sợi trục gọi là ""gò sợi trục"", đây là nơi điện thế hoạt động được tạo thành để bắt đầu dẫn truyền tín hiệu trên suốt chiều dài sợi.... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Dẫn truyền xung động thần kinh) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chất làm tăng tính hưng phấn của noron do làm giảm ngưỡng kích thích:,Cafein,Strychnine,Thuốc tê,Thuốc mê,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì vậy đáp án A (Cafein) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm cảm giác đau, NGOẠI TRỪ:",Thụ thể cảm giác đau là đầu dây tự do của dây thần kinh,Phân bố thụ thể ở lớp nông của da,Loại sợi C không có myelin dẫn truyền chậm cảm giác đau cấp,Noron thứ 3 thân ở đồi thị,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Loại sợi C không có myelin: dẫn truyền chậm cảm giác đau mạn.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Loại sợi C không có myelin dẫn truyền chậm cảm giác đau cấp) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tổng hợp myelin trong hệ thần kinh trung ương là đặc điểm của tế bào thần kinh đệm nào:,Tế bào hình sao,Tế bào ít nhánh,Tế bào Schwann,Tế bào vi mô,B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tế bào ít nhánh (oligodendrocytes): tổng hợp myelin trong hệ thần kinh trung ương.. Vì vậy đáp án B (Tế bào ít nhánh) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm trong dẫn truyền cảm giác xúc giác:,Có 2 noron tham gia dẫn truyền từ hạch gai lên vỏ não,Loại sợi Aβ dẫn truyền cảm giác xúc giác thô sơ,"Noron thứ 3 có thân ở đồi thị, sợi trục tận cùng ở thùy đỉnh của vỏ não",Loại sợi C dẫn truyền cảm giác xúc giác tinh tế,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Nơron thứ ba: thân nằm ở đồi thị, sợi trục tận cùng ở thùy đỉnh của vỏ não.. Vì vậy đáp án C (Noron thứ 3 có thân ở đồi thị, sợi trục tận cùng ở thùy đỉnh của vỏ não) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của PXCĐK nhân tạo:,Không bền vững,Hình thành tự nhiên không do chủ đích,Có tính chất loài,Thường tồn tại suốt đời,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Khi ánh sáng đến tế bào que, rhodopsin hấp thu năng lượng ánh sáng. Năng lượng này đồng phân hóa 11-cis retinal thành all-trans retinal..... Vì vậy đáp án A (Không bền vững) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sự chi phối của thần kinh giao cảm tới vùng bụng xuất phát từ:,D2,D3-D6,D7-D11,D12-L2,C,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: D7-D11; Nơi chi phối: Vùng bụng. Vì vậy đáp án C (D7-D11) là phù hợp với nội dung bài."
