subject,topic,question,A,B,C,D,answer,explanation
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi Aδ có chức năng:,"Sợi cảm giác suốt cơ, thị giác, sợi vận động cơ vân",Sợi truyền xúc giác (da),Sợi vận động ở suốt cơ,Sợi truyền cảm giác nhiệt và đau “nhanh”,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: Aδ; Chức năng: Sợi truyền cảm giác nhiệt và đau ""nhanh"" (da); Đường kính (um): 3; Tốc độ dẫn truyền (m/s): 12-30. Vì vậy đáp án D (Sợi truyền cảm giác nhiệt và đau “nhanh”) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Tác nhân gây cảm giác đau, NGOẠI TRỪ:",Kích thích xúc giác thô sơ,Kích thích cơ học mạnh,Kích thích nhiệt quá nóng,Kích thích hóa học,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Kích thích có điều kiện tác động lên bộ phận cảm thụ ngoài hay nói chung do ngũ quan cảm nhận được (nghe, ngửi, nếm, nhìn, sờ, đau, nóng lạnh). Ví dự: nhìn thấy trái me người ta tiết nước bọt.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Kích thích xúc giác thô sơ) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các tính chất của đường liên lạc tạm thời, NGOẠI TRỪ:",Là một đường chức năng,Tồn tại tạm thời trên vỏ não,Chuyển động hưng phấn theo hai chiều,Chuyển động hưng phấn theo một chiều,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Như vậy, phản xạ có điều kiện được xây dựng trên cơ sở một đường liên lạc tạm thời giữa hai điểm hưng phấn trên vỏ não do một kích thích có điều kiện và một kích thích không điều kiện gây ra..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Chuyển động hưng phấn theo một chiều) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Kích thích giao cảm gây:,"Co đồng tử, giảm hoạt động tim mạch và tiêu hóa","Dãn đồng tử, tăng hoạt động tim mạch và tiêu hóa","Co đồng tử, giảm hoạt động tim mạch, tăng hoạt động tiêu hóa","Dãn đồng tử, tăng hoạt động tim mạch, giảm hoạt động tiêu hóa",D,"Theo book_17_SinhLyTKVanDong_raw.docx, Phản xạ thực vật của hệ tim mạch: điều hòa hoạt động tim và huyết áp. Nhìn chung kích thích giao cảm gây tăng hoạt động, phó giao cảm làm giảm hoạt động.. Vì vậy đáp án D (Dãn đồng tử, tăng hoạt động tim mạch, giảm hoạt động tiêu hóa) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Các đặc trưng của phản xạ không điều kiện:,Có tính chất cá thể,Trung tâm phản xạ ở vùng dưới vỏ,Phụ thuộc vào sự củng cố,Không di truyền,B,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Trung tâm phản xạ ở vùng dưới vỏ. Ví dụ: trung tâm phản xạ gót chân, phản xạ da bìu ở tủy sống.; Phản xạ có điều kiện: Trung tâm phản xạ ở vỏ não (nơi hình thành đường liên lạc tạm thời).. Vì vậy đáp án B (Trung tâm phản xạ ở vùng dưới vỏ) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đường liên lạc tạm thời được hình thành nhờ các yếu tố sau đây, NGOẠI TRỪ:",Hoạt hóa xi náp,Các gai trên sợi nhánh của tế bào thần kinh phát triển,Tạo thêm các xi náp mới,Điện thế nghỉ của tế bào thần kinh âm hơn,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Sợi trục (axon): là tua bào tương dài, vị trí chuyển tiếp từ thân tế bào thần kinh thành sợi trục gọi là ""gò sợi trục"", đây là nơi điện thế hoạt động được tạo thành để bắt đầu dẫn truyền tín hiệu trên suốt chiều dài sợi.... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Điện thế nghỉ của tế bào thần kinh âm hơn) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đoạn tủy sống nào sau đây chứa toàn bộ noron giao cảm trước hạch:,C5-T1,C3-C5,S2-S4,T1-L2,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Trung tâm: sừng bên chất xám tủy sống đoạn D1-L2.. Vì vậy đáp án D (T1-L2) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Trong trường hợp tăng nồng độ men Cholinesterase, động vật thí nghiệm có biểu hiện:",Tăng nhịp tim,Co đồng tử,Tăng nhu động ruột,Tăng trương lực cơ vân,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Cơ quan đáp ứng: Tim:; - Nút xoang; - Tâm nhĩ; ; - Nút nhĩ-thất; ; - Hệ thống dẫn truyền; ; - Tâm thất; Xung động adrenergic: β1; β1; ; β1; ; β1; ; ; β1; Xung động adrenergic: - Tăng tần số tim.... Vì vậy đáp án A (Tăng nhịp tim) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tổn thương vị trí tủy sống C1 - C2 bên trái gây ảnh hưởng đến cảm giác:,"Mất cảm giác xúc giác tinh tế bên phải - cảm giác nhiệt, đau, xúc giác thô sơ bên trái","Mất cảm giác xúc giác tinh tế bên trái - cảm giác nhiệt, đau, xúc giác thô sơ bên phải","Mất cảm giác xúc giác thô sơ phải - cảm giác nhiệt, đau, xúc giác tinh vi bên trái","Mất cảm giác xúc giác thô sơ trái - cảm giác nhiệt, đau, xúc giác tinh vi bên phải",B,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Tổn thương vùng này: bệnh nhân không cảm nhận được sự thay đổi áp suất lên cơ thể, không đánh giá đúng trọng lượng của vật, không nhận biết được hình dạng của vật và tính chất bề mặt của vật..... Vì vậy đáp án B (Mất cảm giác xúc giác tinh tế bên trái - cảm giác nhiệt, đau, xúc giác thô sơ bên phải) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Synap hóa học với 3 thành phần, NGOẠI TRỪ:",Màng trước synap,Khe synap,Màng giữa synap,Màng sau synap,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Xung động chỉ được dẫn truyền theo một chiều từ màng trước synap đến màng sau synap theo cơ chế:. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Màng giữa synap) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Khi tăng cường độ kích thích từ ngưỡng kích thích thấp nhất đến ngưỡng kích thích tối đa trên dây thần kinh ngoại biên, sẽ dẫn đến kết quả là:",Biên độ sóng đáp ứng không thay đổi,Khi ngưỡng kích thích càng tăng thì biên độ sóng đáp ứng càng tăng,Biên độ sóng đáp ứng tăng dần: bắt đầu từ ngưỡng kích thích thấp nhất và đạt đỉnh cao nhất ở ngưỡng kích thích tối đa,Chỉ xuất hiện biên độ sóng đáp ứng ở ngưỡng kích thích tối đa,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tuân theo quy luật ""tất cả hoặc không"": kích thích dưới ngưỡng thì không đáp ứng; kích thích bằng hoặc trên ngưỡng thì đáp ứng tối đa về mặt biên độ. Tuy nhiên kích thích càng mạnh thì tần số xung động sẽ càng cao.. Vì vậy đáp án C (Biên độ sóng đáp ứng tăng dần: bắt đầu từ ngưỡng kích thích thấp nhất và đạt đỉnh cao nhất ở ngưỡng kích thích tối đa) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Hệ cholinergic gồm, NGOẠI TRỪ:",Sợi hậu hạch giao cảm,Sợi tiền hạch giao cảm,Sợi tiền hạch phó giao cảm,Sợi hậu hạch phó giao cảm,A,"Theo book_17_SinhLyTKVanDong_raw.docx, + Sợi hậu hạch giao cảm.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Sợi hậu hạch giao cảm) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm phản xạ không điều kiện:,Có tính chất tập luyện,Có tính cá thể,Không tính chất di truyền,Có tính vĩnh viễn suốt đời,D,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất vĩnh viễn, suốt đời; Phản xạ có điều kiện: Có tính chất tạm thời, mất đi khi không được củng cố. Vì vậy đáp án D (Có tính vĩnh viễn suốt đời) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Vị trí trung tâm nhận cảm cảm giác nhiệt:,Vỏ não thùy thái dương,Vỏ não thùy đỉnh và cấu tạo lưới hành - cầu não,Cấu tạo lưới hành - cầu não,Vỏ não thùy đỉnh,D,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Vỏ não nhận cảm giác sâu có ý thức nằm ở thùy đỉnh có vai trò tạo các cảm giác bản thể như: cho ta biết tư thế, vị trí của từng phần cơ thể và của cả cơ thể trong không gian; có khái niệm về trọng lượng.... Vì vậy đáp án D (Vỏ não thùy đỉnh) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của Thụ thể nhận cảm nhiệt nóng:,"Hoạt động mạnh ở nhiệt độ 38 - 43°C, giới hạn cao nhất là 45-47°C","Là các tiểu thể có vỏ bọc, bên trong có các sợi trục không myelin",Nhiều gấp 3 - 10 lần Thụ thể nhận cảm nhiệt lạnh,Có tính chất thích nghi tốt hơn so với Thụ thể nhận cảm nhiệt lạnh,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Thụ thể nhận cảm nóng (tiểu thể Ruffini): là các tiểu thể có vỏ bọc, bên trong có các sợi có myelin. Ngừng hoạt động khi nhiệt độ thấp hơn 20-25°C, hoạt động mạnh ở 38-43°C và giới hạn cao nhất là 45-47°C.. Vì vậy đáp án A (Hoạt động mạnh ở nhiệt độ 38 - 43°C, giới hạn cao nhất là 45-47°C) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chất làm giảm tính hưng phấn của noron do làm tăng ngưỡng kích thích:,Cafein,Thuốc mê,Strychnine,Theophyllin,B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì vậy đáp án B (Thuốc mê) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Các sợi phó giao cảm có đặc điểm sau NGOẠI TRỪ:,"Các sợi phó giao cảm rời khỏi hệ thần kinh trung ương qua các dây thần kinh sọ III, VII, IX, X",Khoảng 75% số sợi phó giao cảm nằm trong dây X,Các sợi trong dây VII tới chi phối cho tuyến mang tai,"Các sợi trong tủy cùng tới chi phối cho đại tràng xuống, trực tràng",C,"Theo book_17_SinhLyTKVanDong_raw.docx, Đường dẫn truyền: đường dẫn truyền từ trung tâm đến mô có hai nơron: nơron tiền hạch và nơron hậu hạch. Đặc biệt các sợi phó giao cảm xuất phát từ cuống não, hành não sẽ đi theo dây thần kinh III, VII, IX, X..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Các sợi trong dây VII tới chi phối cho tuyến mang tai) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm phản xạ có điều kiện, NGOẠI TRỪ:",Trung tâm phản xạ là vỏ não,Có tính chất tạm thời,Có tính chất chủng loài,Không có tính di truyền,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất chủng loài. Ví dụ: nhím gặp nguy hiểm dựng lông, cuộn tròn; Phản xạ có điều kiện: Có tính chất cá thể. Ví dụ: xiếc, đặt tên cho chó.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Có tính chất chủng loài) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Enzym phân hủy acetylcholin:,Acetylcholin transferase,Cholinesterase,Catecholinase,Acetylcholinmutase,B,"Theo DeCuong2025_SinhLyThanKinh.docx, Cholinesterase. Vì vậy đáp án B (Cholinesterase) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Thụ thể của acetylcholin nằm trên tế bào đáp ứng trong hệ thần kinh phó giao cảm là:,Nicotinic 1,Muscarinic,Nicotinic 2,"Alpha, Beta",B,"Theo DeCuong2025_SinhLyThanKinh.docx, + Thụ thể muscarinic (M): nằm trên tế bào đáp ứng trong synap với sợi hậu hạch phó giao cảm. Có các loại Mi, M2, M3.... Vì vậy đáp án B (Muscarinic) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sợi trục tham gia dẫn truyền vận động cơ vân:,A alpha,A beta,B,C,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Trên màng đuôi gai, thân và thậm chí có khi màng sợi trục của nơron có các thụ thể tiếp nhận các kích thích khác nhau. Sau khi tiếp nhận thông tin.... Vì vậy đáp án A (A alpha) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Thành phần thuộc hệ thần kinh cảm giác, NGOẠI TRỪ:",Bộ phận nhận cảm,Đường dẫn truyền hướng tâm,Đường dẫn truyền ly tâm,Trung tâm phản xạ,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Đường dẫn truyền ly tâm (dẫn truyền xung động vận động).. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Đường dẫn truyền ly tâm) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Trung tâm ở trung não và hành não,Noron hậu hạch có thân ở cạnh hạch phó giao cảm,"Hạch giao cảm gần trung tâm, xa tạng",Đường dẫn truyền gồm 2 noron,C,"Theo DeCuong2025_SinhLyThanKinh.docx, Hệ giao cảm: Hạch giao cảm nằm gần trung tâm, xa tạng; Hệ phó giao cảm: Hạch phó giao cảm nằm gần tạng, xa trung tâm. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch giao cảm gần trung tâm, xa tạng) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Cảm giác đau có đặc điểm:,"Là cảm giác nông, các thụ thể chỉ phân bố ngoài da",Trung tâm cảm giác hoàn toàn khu trú trong thùy đỉnh vỏ não,Có ý nghĩa bảo vệ cơ thể nên không thích nghi và liên quan với hệ lưới,Các xung động về đau được dẫn truyền với một tốc độ duy nhất về đồi thị,C,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Thụ thể đau không có tính thích nghi.. Vì vậy đáp án C (Có ý nghĩa bảo vệ cơ thể nên không thích nghi và liên quan với hệ lưới) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Khi thụ thể Muscarinic bị phong bế, sẽ gây biểu hiện:",Tăng nhịp tim,Co đồng tử,Dãn mạch,Giảm huyết áp,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Xuất phát: Hành não: dây X; Nơi chi phối: - Các tạng trong ngực: tim, phổi, thực quản...; - Các tạng trong bụng: dạ dày, ruột non, nửa đầu ruột già, gan, túi mật, tụy. Vì vậy đáp án A (Tăng nhịp tim) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của PXCĐK tự nhiên:,Khó thành lập,Không bền vững,Không tồn tại suốt đời,Có tính chất loài,D,"Theo book_19_SinhLyTKCaoCap_raw.docx, Dễ thành lập, hình thành trong môi trường tự nhiên; bền vững, thường tồn tại suốt đời và có tính chất loài. Ví dụ: phản xạ chuột sợ mèo.. Vì vậy đáp án D (Có tính chất loài) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm dẫn truyền trên sợi có myelin:,Điện thế hoạt động lan dần sang các điểm lân cận,Điện thế hoạt động tại một điểm,Điện thế hoạt động lan truyền theo kiểu “nhảy cách” qua các eo Ranvier,Tốc độ dẫn truyền chậm hơn dẫn truyền sợi không có myelin,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Dẫn truyền trên sợi có myelin: điện thế hoạt động lan truyền theo kiểu ""nhảy cách"" qua các eo Ranvier. Do đó kiểu dẫn truyền này có tốc độ nhanh hơn dẫn truyền trên sợi không có myelin và tiết kiệm năng lượng cho nơron.... Vì vậy đáp án C (Điện thế hoạt động lan truyền theo kiểu “nhảy cách” qua các eo Ranvier) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Cơ đồng tử, cơ thể mi nhận sự chi phối của thần kinh phó giao cảm xuất phát từ:",Chất xám tủy sống S2-S4,Trung não: dây thần kinh III,Hành não: dây thần kinh VII,Hành não: dây thần kinh IX,B,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: Trung não: dây III; Nơi chi phối: Co cơ đồng tử, cơ thể mi. Vì vậy đáp án B (Trung não: dây thần kinh III) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Hạch phó giao cảm bao gồm các hạch sau, NGOẠI TRỪ:",Hạch vòm khẩu cái,Hạch dưới hàm,Hạch tai,Hạch mi,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Hạch bướm khẩu cái: thuộc dây thần kinh VII.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Hạch vòm khẩu cái) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Hạch tai thuộc dây thần kinh IX,"Hạch phó giao cảm xa trung tâm, gần tạng",Hạch khẩu cái thuộc dây thần kinh III,"Trung tâm ở trung não, hành não",C,"Theo book_17_SinhLyTKVanDong_raw.docx, Hạch bướm khẩu cái: thuộc dây thần kinh VII.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Hạch khẩu cái thuộc dây thần kinh III) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Phương thức bất hoạt noradrenalin và adrenalin:,Tất cả đều đúng,Tái nhập trở lại cúc tận cùng,Bị enzyme Catechol - O - Methyltranferase,Khuếch tán khỏi khe synap,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tuân theo quy luật ""tất cả hoặc không"": kích thích dưới ngưỡng thì không đáp ứng; kích thích bằng hoặc trên ngưỡng thì đáp ứng tối đa về mặt biên độ. Tuy nhiên kích thích càng mạnh thì tần số xung động sẽ càng cao.. Vì vậy đáp án A (Tất cả đều đúng) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm các loại phản xạ theo Pavlov:,Có 3 loại phản xạ,Gồm có phản xạ không ý thức và phản xạ có ý thức,Các PXCĐK để giúp cơ thể thích nghi và tồn tại một cách linh hoạt,"PXKĐK là một cung phản xạ tức thời, có được nhờ học tập",C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Trong cơ thể chúng ta có rất nhiều loại PXKĐK, nhưng chưa đủ để đáp ứng với các thay đổi đa dạng phức tạp khác nhau của môi trường sống..... Vì vậy đáp án C (Các PXCĐK để giúp cơ thể thích nghi và tồn tại một cách linh hoạt) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Khoảng cách giữa các tế bào Schwann được gọi là:,Cúc tận cùng,Eo Ranvier,Gò sợi trục,Synap,B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Sợi trục (axon): là tua bào tương dài, vị trí chuyển tiếp từ thân tế bào thần kinh thành sợi trục gọi là ""gò sợi trục"", đây là nơi điện thế hoạt động được tạo thành để bắt đầu dẫn truyền tín hiệu trên suốt chiều dài sợi.... Vì vậy đáp án B (Eo Ranvier) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Bó gai thị sau dẫn truyền cảm giác:,Cảm giác thô sơ,Cảm giác tinh tế,Cảm giác đau,Cảm giác nhiệt,B,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Bó gai thị sau: sợi to, có myelin, dẫn truyền nhanh cảm giác xúc giác tinh tế. Đường dẫn truyền:. Vì vậy đáp án B (Cảm giác tinh tế) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Vị trí trên cơ thể tập trung ít Thụ thể xúc giác nhất:,Mặt trước cẳng tay,Đầu ngón tay,Đầu lưỡi,Mặt dưới ngón chân cái,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Phân bố thụ thể xúc giác: nhiều ở đầu ngón tay, đầu lưỡi, môi, đầu mũi, mặt dưới ngón chân cái. Có ít ở phần trên đùi, mặt trước cẳng tay, mặt trong cẳng chân, cổ và phần da che xương.. Vì vậy đáp án A (Mặt trước cẳng tay) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ thần kinh tự chủ, NGOẠI TRỪ:",Các sợi tiền hạch của hệ giao cảm và phó giao cảm đều là sợi adrenergic,Các sợi hậu hạch của hệ phó giao cảm đều là sợi cholinergic,"Các sợi hậu hạch giao cảm từ tuyến mồ hôi, cơ dựng lông là sợi cholinergic",Phần lớn sợi hậu hạch của hệ giao cảm là sợi adrenergic,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Sợi tiền hạch giao cảm và phó giao cảm.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Các sợi tiền hạch của hệ giao cảm và phó giao cảm đều là sợi adrenergic) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sự chi phối của thần kinh giao cảm tới vùng chi dưới xuất phát từ:,D3-D6,D7-D11,D12-L2,D2,C,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: D12-L2; Nơi chi phối: Chi dưới. Vì vậy đáp án C (D12-L2) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm phản xạ không điều kiện:,Trung tâm phản xạ là vùng dưới vỏ,Có tính chất tạm thời,Có tính chất cá thể,Không có tính di truyền,A,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Trung tâm phản xạ ở vùng dưới vỏ. Ví dụ: trung tâm phản xạ gót chân, phản xạ da bìu ở tủy sống.; Phản xạ có điều kiện: Trung tâm phản xạ ở vỏ não (nơi hình thành đường liên lạc tạm thời).. Vì vậy đáp án A (Trung tâm phản xạ là vùng dưới vỏ) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của các Thụ thể cảm giác đau có đặc điểm:,"Thụ thể đau vùng màng xương, các tạng thường không có đường dẫn truyền riêng mà phải mượn đường của Thụ thể đau vùng da tương ứng",Phân bố lớp sâu của da,"Thụ thể đau: đầu tự do của dây thần kinh, tiểu thể Pacini, Tiểu thể Meissner ở đỉnh các gai da",Thụ thể đau có tính thích nghi,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Những thụ thể đau này thường không có đường dẫn truyền riêng mà phải mượn đường của thụ thể đau vùng da tương ứng.. Vì vậy đáp án A (Thụ thể đau vùng màng xương, các tạng thường không có đường dẫn truyền riêng mà phải mượn đường của Thụ thể đau vùng da tương ứng) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của noron dẫn truyền cảm giác xúc giác, NGOẠI TRỪ:",Có 3 noron dẫn truyền,Noron thứ nhất có thân ở hạch gai đi về sừng trước tủy sống,Noron thứ hai dẫn truyền từ tủy sống lên đồi thị,Noron thứ ba dẫn truyền từ đồi thị lên thùy đỉnh của vỏ não,B,"Theo DeCuong2025_SinhLyThanKinh.docx, Noron thứ nhất (noron của hạch gai): có thân nằm ở hạch gai cạnh tủy sống. Sợi trục theo rễ sau dây thần kinh tủy vào sừng sau tủy sống.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Noron thứ nhất có thân ở hạch gai đi về sừng trước tủy sống) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Khái niệm phản xạ có điều kiện:,Phản xạ là phản ứng của cơ thể đối với những kích thích của môi trường bên ngoài cơ thể,Pavlov phân biệt 2 loại phản xạ: phản xạ không ý thức và phản xạ có ý thức,PXKĐK chưa đủ để đáp ứng với các thay đổi đa dạng phức tạp khác nhau của môi trường sống,PXKĐK là phản xạ có được khi học tập,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Trong cơ thể chúng ta có rất nhiều loại PXKĐK, nhưng chưa đủ để đáp ứng với các thay đổi đa dạng phức tạp khác nhau của môi trường sống..... Vì vậy đáp án C (PXKĐK chưa đủ để đáp ứng với các thay đổi đa dạng phức tạp khác nhau của môi trường sống) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác xúc giác, NGOẠI TRỪ:",Loại sợi Aβ có myelin dẫn truyền nhanh cảm giác xúc giác tinh tế,Chặng thứ nhất dẫn truyền từ thụ thể vào tủy sống,Loại sợi C không có myelin giúp xác định chính xác vị trí của kích thích,Bó gai thị sau dẫn truyền nhanh cảm giác xúc giác tinh tế,C,"Theo DeCuong2025_SinhLyThanKinh.docx, + Loại sợi Aβ có myelin: dẫn truyền nhanh cảm giác xúc giác tinh tế giúp xác định chính xác vị trí, cường độ và sự thay đổi của kích thích.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Loại sợi C không có myelin giúp xác định chính xác vị trí của kích thích) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Sắp xếp tốc độ dẫn truyền của các sợi trục giảm dần:,Aα > Aβ > Aγ > Aδ,Aα > Aδ > Aγ > Aβ,Aα > Aγ > Aβ > Aδ,Aα > Aδ > Aβ > Aγ,A,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Loại sợi: Aβ; Chức năng: Sợi truyền xúc giác (da); Đường kính (um): 8; Tốc độ dẫn truyền (m/s): 30-70. Vì vậy đáp án A (Aα > Aβ > Aγ > Aδ) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Trung tâm nhận cảm cảm giác đau, NGOẠI TRỪ:",Vùng cảm giác đau của vỏ não nằm ở thùy đỉnh,Vỏ não có vai trò trong việc đánh giá đau nhất là về chất,Vị trí của cảm giác đau cấp được xác định chính xác hơn cảm giác đau mạn,Tổn thương mất vỏ vẫn còn cảm giác đau,A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Vỏ não cảm giác nhiệt nằm ở thùy đỉnh, tại đây có những nơron nhận cảm đặc hiệu với nóng, lạnh cho từng vùng riêng của cơ thể.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Vùng cảm giác đau của vỏ não nằm ở thùy đỉnh) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
